id,tokens,pos_tags
360,['នគរបាល' 'ពីរ' 'ឬ' 'បី' 'នាក់' 'បាន' 'បាញ់' 'គ្រាប់_បែក' 'ផ្សែង' '។'],[11  3  7  3 10  1 20 11 11  9]
361,['អ្នក~នាង' 'លូន' 'បារាំង'],[14 13 13]
362,['គាត់' 'ឈ្មោះ' 'សេរីនាថ'],[14 11 13]
363,"['ក្មេង_ប្រុស' 'អាយុ' '១៥' 'ឆ្នាំ' 'ម្នាក់' 'ឈ្មោះ' 'ខឹម' 'សូផាត' 'បាន'
 'បាត់_ខ្លួន' 'នៅ' 'ថ្ងៃ' 'នោះ' 'បន្ទាប់_ពី' 'គេ' 'ឃើញ' 'ដួល' 'ទៅ_លើ' 'ដី'
 'ហើយ' 'ឃើញ' 'មាន' 'របួស' 'ដោយ' 'គ្រាប់' 'កាំភ្លើង' 'ចំ' 'ដើម_ទ្រូង' '។']","[11 11  3 11  5 11 13 13  1 20  7 11  5  7 14 20 20  7 11 16 20 20  8  7
 11 11  7 11  9]"
364,"['ពួក' 'គេ' 'ស្ថិត' 'នៅ_ក្នុង' 'ចំណោម' 'ប្រជា_ជន' 'កម្ពុជា' 'ដំបូង' 'គេ'
 'ដែល' 'បាន' 'ធ្វើ' 'ការងារ' 'ប្រភេទ' 'នេះ' 'ហើយ' 'បាន' 'អភិវឌ្ឍ' 'ជំនាញ'
 'របស់' 'គេ' 'ក្នុង' 'ការ~វិភាគ' 'លើ' 'រូបភាព' 'ផ្កាយ' 'រណប' 'ក្នុង'
 'អំឡុង' 'ពេល' 'ពេញ' 'មួយ' 'គម្រោង' 'នេះ' '។']","[11 14 20  7 11 11 13  8 14 17  1 20 11 11  5 16  1 20 11  7 14  7 11  7
 11 11  8  7  7 11  8  3 11  5  9]"
365,['អ្នក~នាង' 'សេងង៉ា'],[14 13]
366,['លោក~ស្រី' 'ពន្លក' 'ខេមរិន'],[14 13 13]
367,['គាត់' 'ឈ្មោះ' 'ម៉េង' 'លី'],[14 11 13 13]
368,['-' 'ចុះ' 'អ្នក~ឯង' 'ម៉េច' 'ក៏' 'មើល' 'យើង' 'ឃើញ' '?'],[18 20 14 16 16 20 14 22 18]
369,['គាត់' 'ឈ្មោះ' 'នូ' 'ដូដូ'],[14 11 13 13]
370,"['អ្នក~ស្រី' 'បន្ត' 'ថា' '៖' '«' 'អាកាស_ធាតុ' 'ក្តៅ' 'ពេក' 'ហើយ'
 'អ្នក~ស្រុក' 'ពិបាក' 'រក' 'ទឹក' 'ស្អាត' 'សម្រាប់' 'ប្រើប្រាស់' 'ណាស់' '»'
 '។']",[14 20  7 18 18 11  8 16 16 11  8 20 11  8  7 20 16 18  9]
371,['ខ្ញុំ' 'ឈ្មោះ' 'ពិន'],[14 11 13]
372,['អ្នក~នាង' 'គឹម' 'អន'],[14 13 13]
373,['គាត់' 'ឈ្មោះ' 'សុខ' 'ស្រី' 'អំ'],[14 11 13 13 13]
374,"['លើស' 'ពី' 'ការ~ហាម_ឃាត់' 'ស្តី_ពី' 'ការ~បង្ខំ_ឲ្យ' 'មាន' 'ការ~បាត់'
 'ខ្លួន' 'អនុសញ្ញា' 'ក៏' 'បាន' 'បង្កើត' 'កាតព្វ^កិច្ច' 'សម្រាប់' 'រដ្ឋ'
 'ក្នុង' 'ការ~ចាត់' 'នូវ' 'វិធានការ' 'សម_ស្រប' 'មួយ_ចំនួន' 'ដើម្បី' 'ធ្វើ'
 'ការ~ស៊ើប_អង្កេត' 'ស្ថានភាព' 'ដែល' 'មាន' 'មូលហេតុ' 'សម_ស្រប' 'គួរ'
 'ជឿជាក់' 'ថា' 'មាន' 'ការ~បាត់' 'ខ្លួន' 'ដោយ' 'បង្ខំ' 'បាន' 'កើត_ឡើង'
 'ហើយ' 'នាំ_យក' 'អ្នក~ទទួល_ខុស_ត្រូវ' 'មក' 'ផ្តន្ទា_ទោស' 'ព្រហ្ម_ទណ្ឌ'
 'ទោះ_ជា' 'មាន' 'ឬ' 'មិន' 'មាន' 'ពាក្យ_បណ្តឹង' 'ជា' 'ផ្លូវ_ការ'
 'ត្រូវ_បាន' 'ដាក់' 'ក៏' 'ដោយ' '។']","[ 8  7 11  7 11 21 11 11 11 16  1 20 11  7 11  7 11  7 11  8  5  7 20 11
 11 17 20 11  8 20 20  7 20 11 11  7 20 22 20  2 20 11  7 20 11  7 20  7
 16 20 11  7  8 20 20 16  7  9]"
375,"['លោក' 'ប្រធានាធិបតី' 'បារាំង' 'ក៏' 'បាន' 'បញ្ជាក់' 'ផង_ដែរ' 'ថា' 'នៅ'
 'ចុង' 'ខែ_មិថុនា' 'គឺ_ជា' 'កាល_បរិច្ឆេទ' 'យូរ' 'បំផុត' 'ហើយ' 'សម្រាប់'
 'ការ~សម្រេច_បាន' 'កិច្ច~ព្រមព្រៀង' 'មួយ' '។']",[14 11 13 16  1 20 16  7  7 11 13 20 11  8 16 16  7 11 11  3  9]
376,"['ប៉ុន្តែ' 'លោក' 'ជា' 'ប៉ូច' 'បាន' 'ចាត់ទុក' 'ខិត្តប័ណ្ណ' 'អនាមិក'
 'ទាំង_នោះ' 'ថា' 'មិន' 'មែន' 'ជា' 'ខិត្តប័ណ្ណ' 'ធ្វើ_ឡើង' 'ដោយ' 'សកម្ម_ជន'
 'គណបក្ស' 'សង្គ្រោះ' 'ជាតិ' 'ទេ' '។']",[ 2 14 13 13  1 20 11  8  5  7 16 16 20 11 20  7 11 11 21 11 12  9]
377,['អ្នក~នាង' 'លេប' 'សុភា'],[14 13 13]
378,"['ក្នុង' 'ករណី' 'នេះ' 'មេធាវី' 'របស់' 'អ្នក' 'ទាំង' '៣' 'នាក់' 'មិន' 'បាន'
 'ដឹង' 'ពី' 'មូលហេតុ' 'ដែល' 'ក្រុម_គ្រួសារ' 'របស់' 'អ្នក' 'ទាំង_នោះ'
 'ត្រូវ_បាន' 'ហាម_ឃាត់' 'មិន' 'ឲ្យ' 'ចូល' 'សួរ_សុខ_ទុក្ខ' 'នោះ' 'ទេ' '។']","[ 7 11  5 11  7 14  5  3 10 16  1 20  7 11 17 11  7 14  5 20 20 16  7 20
 20  5 12  9]"
379,['កញ្ញា' 'ណារ៉ាត'],[14 13]
380,['លោក~ជំទាវ' 'សុធាវណ្ណ'],[14 13]
381,['លោក~ស្រី' 'ដុស' 'វិចិត្រ'],[14 13 13]
382,['នេះ' 'គឺ_ជា' 'លុយ' 'ស្រី' 'នាង'],[ 5 20 13 13 13]
383,['នេះ' 'គឺ_ជា' 'យៀម' 'ស្រី' 'លាក់'],[ 5 20 13 13 13]
384,"['របាយការណ៍' 'ស្រាវជ្រាវ' 'ដែល' 'ចំណាយ' 'ពេល' 'ជាង' '១' 'ឆ្នាំ' 'ស្តី_ពី'
 '«' 'គោល_នយោបាយ' 'ចាស់' 'សកម្មភាព' 'ថ្មី']",[11 21 17 20 11  7  3 11  7 18 11  8 11  8]
385,"['នៅ' 'ពេល' 'នោះ' 'នាង' 'ទិព្វ' 'សុតា' 'ច័ន្ទ' 'បាន' 'ទូល' 'ព្រះ~ឥន្ទ្រ'
 'បន្ថែម' 'ថា' '""' 'បុត្រ' 'ខ្ញុំ_ម្ចាស់' 'មាន' 'ការ~ប៉ិន_ប្រសប់' 'ណាស់'
 'គឺ' 'ចេះ' 'គូរ' 'ចេះ' 'ឆ្លាក់' 'នាំ_ឲ្យ' 'មនុស្ស_លោក' 'មាន'
 'សេចក្ដី~កោត_សរសើរ' 'ស្ញប់ស្ញែង' 'ជា' 'ក្រៃលែង' 'ប៉ុន្តែ' 'ទាស់' 'តែ'
 'កូន' 'ខ្ញុំ_ម្ចាស់' 'ចេះ' 'ចំណេះ' 'ទាំង_នេះ' 'ដោយ' 'ឥត' 'បាន' 'រៀន' 'ពី'
 'គ្រូ' 'ណា' 'សោះ' 'គឺ' 'វា' 'ចេះ' 'ដោយសារ' 'គំនិត' 'វា' 'តែ_ម្ដង' '""' '។']","[ 7 11  5 14 13 13 13  1 20 11 16  7 18 11 14 20 11 16 20 20 20 20 20 20
 11 20 11 11  7  8  2  8 16 11 14 20 11  5  7 16  1 20  7 11 14 12 20 14
 20  2 11 14 16 18  9]"
386,['តើ' 'ក្រុម' 'ណា' 'ទៀត' 'ដែល' 'អ្នក' 'ចង់' 'ប្រកួត' '?' '។'],[15 11 14 16 17 14 20 20 18  9]
387,"['ចំពោះ' 'សិស្ស' 'ថ្នាក់' 'ទី' '១២' 'ត្រូវ' 'មាន' 'សញ្ញាបត្រ' 'បញ្ជាក់'
 'ការ~សិក្សា' 'កម្រិត' 'មធ្យម_សិក្សា' 'ទុតិយ_ភូមិ' 'ចាប់_ពី' 'និទេ្ទស'
 'ប៊ី' 'រួម' 'ឡើង' 'ទៅ' '។']",[ 7 11 11 11  3 20 20 11 21 11 11 11 11  7 11 13  8 16 12  9]
388,"['ប៉ុន្តែ' 'លោក' 'ជា' 'ស៊ីម' 'នៅ_តែ' 'មាន' 'ក្តី~ស្រឡាញ់' 'លើ' 'កិច្ចការ'
 'សន្តិសុខ' 'ផ្ទៃ_ក្នុង' 'នៃ' 'របប' 'សាធារណ_រដ្ឋ' 'ប្រជាមានិត' 'កម្ពុជា'
 'ហើយ' 'បាន' 'បន្ត' 'ទទួល_បាន' 'នូវ' 'ភក្តី^ភាព' 'ខ្លាំង' 'ពី' 'សមាជិក'
 'ថ្នាក់' 'កំពូល' 'នៃ' 'គណបក្ស' 'ដែល' 'រួម_ទាំង' 'បុរស' 'ម្នាក់' 'ដែល'
 'គេ' 'មើល_ឃើញ' 'ថា' 'ជា' 'អ្នក' 'ស្នង' 'បន្ត' 'គឺ' 'លោក' 'ស' 'ខេង'
 'រដ្ឋ_មន្រ្តី' 'ក្រសួង' 'មហា_ផ្ទៃ' 'និង' 'ជា' 'ប្អូន' 'ថ្លៃ' 'របស់' 'លោក'
 '។']","[ 2 14 13 13 16 20 11  7 11 11 11  7 11 11 11 13 16  1 20 20  7 11  8  7
 11 11  8  7 11 17  8 11  5 17 14 20  7 20 14 11  8 20 14 13 13 11 11 11
  2 20 11 11  7 14  9]"
389,['នេះ' 'គឺ_ជា' 'ឯក' 'ណារ៉ូ'],[ 5 20 13 13]
390,['នេះ' 'គឺ_ជា' 'ញឹក'],[ 5 20 13]
391,"['លោក' 'អំ' 'សំអាត' 'ទីប្រឹក្សា' 'បច្ចេកទេស' 'នៃ' 'អង្គការ' 'សិទ្ធិ'
 'មនុស្ស' 'លីកាដូ' 'បាន' 'ថ្លែង' 'កាល_ពី' 'ម្សិល_មិញ' 'ថា' 'ការ~បង់_លុយ'
 'ដើម្បី' 'ទទួល_បាន' 'សេវា' 'ល្អ' 'ប្រសើរ' 'បាន' 'កើត_ឡើង' 'ជា_ទូទៅ'
 'ទៅ_ហើយ' 'នៅ' 'តាម' 'ពន្ធនាគារ' 'ក្នុង' 'ប្រទេស' 'កម្ពុជា' '។']","[14 13 13 11 11  7 11 11 11 13  1 20  7 11  7 11  7 20 11  8  8  1 20 16
 16  7  7 11  7 11 13  9]"
392,['លោក' 'ឡេង' 'សៀក' 'ម៉េង'],[14 13 13 13]
393,['អ្នក~នាង' 'សឿង' 'និច'],[14 13 13]
394,['កញ្ញា' 'ប្លឹង' 'ស្រី' 'ង៉ឹត'],[14 13 13 13]
395,['ខ្ញុំ' 'ឈ្មោះ' 'ង៉ង់' 'ប៉ច'],[14 11 13 13]
396,['លោក~ស្រី' 'ឃ្លោក' 'គិរី'],[14 13 13]
397,['ឯក_ឧត្ដម' 'អ៊ឹង'],[14 13]
398,"['លោក' 'ត្រូវ_បាន' 'ជន' 'មិន' 'ស្គាល់' 'មុខ' 'ចំនួន' '៥' 'នាក់'
 'ចាប់_ខ្លួន' 'កាល_ពី' 'ថ្ងៃ_ទី' '២៨' 'ខែ_មេសា' 'ឆ្នាំ' '២០០៧' 'នៅ'
 'ភោជនីយ_ដ្ឋាន' 'មួយ' 'ក្នុង' 'ផ្សារ' 'ទំនើប' 'មួយ' 'នៃ' 'ក្រុង' 'ខេត្ត'
 'ខណៈ_ពេល' 'ដែល' 'លោក' 'កំពុង_តែ' 'បរិភោគ' 'អាហារ' 'តែ' 'ម្នាក់_ឯង' '។']","[14 20 11 16 21 11 11  3 10 20  7 11  3 13 11  3  7 11  3  7 11  8  3  7
 11 11 11 17 14  1 20 11 16  8  9]"
399,['លោក~ជំទាវ' 'ឯម' 'ចាន់ឡា'],[14 13 13]
400,['គាត់' 'ឈ្មោះ' 'យៀក' 'សុផាត់'],[14 11 13 13]
401,"['ប៉ុន្តែ' 'ខ្វះ' '៧' 'សំឡេង' 'នេះ' 'ខ្ញុំ' 'ជឿជាក់' 'ថា' '[' 'យើង' ']'
 'អាច' 'រក' 'បាន' 'ពីព្រោះ' '[' 'គណបក្ស' 'ប្រជា_ជន' ']' 'ក៏' 'មាន'
 'អ្នក~ស្នេហា_ជាតិ' 'ដែរ' '»' '។']","[ 2 20  3 11  5 14 20  7 18 14 18 20 20 22  2 18 11 11 18 16 20 11 16 18
  9]"
402,['ឯក_ឧត្ដម' 'តុប' 'សំ'],[14 13 13]
403,['នេះ' 'គឺ_ជា' 'ស្រ៊ុន'],[ 5 20 13]
404,"['របាយការណ៍' 'កត់_សម្គាល់' 'ថា' 'ការ~រំលោភ_បំពាន' 'នេះ' 'គឺ_ជា'
 'ការ~រំលោភ' 'លើ' 'សិទ្ធិ' 'សេរី^ភាព' 'នៃ' 'ការ~ជួប_ប្រជុំ' 'ដោយ'
 'សន្តិ_វិធី' 'ដែល' 'មាន' 'ចែង' 'ក្នុង' 'សន្ធិសញ្ញា' 'សិទ្ធិ' 'មនុស្ស'
 'ចម្បង' 'ៗ' 'ដែល' 'កម្ពុជា' 'ជា' 'រដ្ឋ' 'ភាគី' 'ព្រម_ទាំង' 'មាន' 'ចែង'
 'ក្នុង' 'រដ្ឋ_ធម្មនុញ្ញ' 'របស់' 'កម្ពុជា' 'ផង_ដែរ' '។']","[11 20  7 11  5 20 11  7 11 11  7 11  7 11 17 20 20  7 11 11 11  8  4 17
 13 20 11 11  7 20 20  7 11  7 13 16  9]"
405,['លោក~ស្រី' 'ហឿក' 'ណៃ' 'ហៀក'],[14 13 13 13]
406,['កញ្ញា' 'ណុប'],[14 13]
407,['លោក~ជំទាវ' 'គីន' 'សាវៀត'],[14 13 13]
408,['កញ្ញា' 'ដាណែត'],[14 13]
409,['កញ្ញា' 'ជរ'],[14 13]
410,['ឯក_ឧត្ដម' 'សង្ខេប'],[14 13]
411,['ខ្ញុំ' 'ឈ្មោះ' 'យុន' 'ធីតា'],[14 11 13 13]
412,['លោក~ជំទាវ' 'រតនៈ'],[14 13]
413,['គាត់' 'ឈ្មោះ' 'មឿន' 'ម៉េម'],[14 11 13 13]
414,['កញ្ញា' 'សុភ័ក្ត្រ'],[14 13]
415,['លោក' 'ដារ៉ា' 'វុធ'],[14 13 13]
416,"['លោក' 'ថ្លែង' 'ថា' '៖' '«' 'គេ' 'គ្មាន' 'អ្វី' 'ទេ' 'គ្មាន' 'សារ' 'ដែល'
 'សំខាន់' 'ទេ' '។' '»']",[14 20  7 18 18 14 16 14 12 16 11 17  8 12  9 18]
417,['លោក~ស្រី' 'ទ្រី'],[14 13]
418,['គាត់' 'ឈ្មោះ' 'ឡៅ' 'ច័ន្ទ' 'សុភ័ស'],[14 11 13 13 13]
419,['លោក~ជំទាវ' 'ទៀប' 'ភារុំ'],[14 13 13]
420,['កញ្ញា' 'ខា' 'សុឌឿប'],[14 13 13]
421,['ឯក_ឧត្ដម' 'ទៀង'],[14 13]
422,['នេះ' 'គឺ_ជា' 'ប៉ុល' 'សារឿន'],[ 5 20 13 13]
423,['លោក~ស្រី' 'ថន' 'ឆើត'],[14 13 13]
424,['លោក~ជំទាវ' 'ហ៊ី'],[14 13]
425,['ខ្ញុំ' 'ឈ្មោះ' 'ពុទ្ធាវ័ន្ត'],[14 11 13]
426,['អ្នក~នាង' 'ស៊ុំ' 'សុគន្ធ'],[14 13 13]
427,['កញ្ញា' 'ហួត'],[14 13]
428,"['យើង_ខ្ញុំ' 'សូម' 'សំណូមពរ' 'ដ៏' 'ទទូច' 'ដល់' 'អាជ្ញាធរ' 'នៃ' 'រាជ'
 'រដ្ឋាភិបាល' 'កម្ពុជា' 'សូម' 'លោក' 'មេត្តា' 'ពិចារណា' 'ឡើង_វិញ' 'នូវ'
 'ការ~សម្រេច_ចិត្ត' 'របស់' 'លោក' 'និង' 'អនុញ្ញាត_ឲ្យ' 'លោក' 'អាឡិច' 'បាន'
 'បន្ត' 'ធ្វើ' 'ការងារ' 'តាម_រយៈ' 'អង្គការ' 'មាតា' 'ធម្ម_ជាតិ' 'ដើម្បី'
 'គាំទ្រ' 'ដល់' 'សហគមន៍' 'ក្នុង' 'តំបន់' 'ក្នុង' 'ការ~ដោះ_ស្រាយ' 'នូវ'
 'ជម្លោះ' 'ជាមួយ' 'ក្រុមហ៊ុន' 'ដែល' 'មាន' 'ទំនាក់ទំនង' 'ជិត_ស្និទ្ធ'
 'ជាមួយ_នឹង' 'អាជ្ញាធរ' 'គឺ' 'ក្រុមហ៊ុន' 'ស៊ីណូ' 'ហាយដ្រូ' 'និង'
 'ក្រុមហ៊ុន' 'ភាពីម៉ិច' '។']","[14 20 20 16 16  7 11  7  8 11 13 20 14 20 20 16  7 11  7 14  2 20 14 13
  1 20 20 11  7 11 11 11  7 20  7 11  7 11  7 11  7 11  7 11 17 20 11  8
  7 11 20 11 13 13  2 11 13  9]"
429,"['មាត្រា' '១៤' 'អាពាហ៍_ពិពាហ៍' 'នឹង' 'អាច' 'ចាត់ទុក_ជា' 'ត្រឹមត្រូវ' 'តាម'
 'លក្ខណៈ' 'ច្បាប់' 'បាន' 'លុះត្រា_តែ' 'បុរស' 'និង' 'នារី' 'ដែល'
 'ស្ម័គ្រ_ចិត្ត' 'យក' 'គ្នា' 'ជា' 'ប្ដី' 'ប្រពន្ធ' 'ចុះ' 'កិច្ច~សន្យា'
 'អាពាហ៍_ពិពាហ៍' 'ខាង' 'លំនៅ' 'របស់' 'នារី' '។']","[11  3 11  1 20 20  8  7 11 11 22  7 11  2 11 17 20 20 14  7 11 11 20 11
 11 11 11  7 11  9]"
430,['នេះ' 'គឺ_ជា' 'វ៉ាន់ថា'],[ 5 20 13]
431,['លោក~ជំទាវ' 'ឡៅ' 'ច័ន្ទ' 'សុភ័ស'],[14 13 13 13]
432,['អ្នក~នាង' 'ពីសី'],[14 13]
433,"['បណ្ដឹង' 'នោះ' 'ត្រូវ' 'ដើម_ចោទ' 'យក_ទៅ' 'ជូន' 'តុលាការ' 'ប្រជា_ជន'
 'ខេត្ត' 'ក្រុង' 'ផ្ទាល់' 'ក៏' 'បាន' 'រឺ' 'ជូន' 'គណៈបក្ស' 'ប្រជា_ជន' 'ឃុំ'
 'រឺ' 'សង្កាត់' 'ខាង' 'លំនៅ' 'របស់' 'ចុង_ចំលើយ' 'ដោយ' 'ខ្លួន_អែង' 'ផ្ទាល់'
 'ក៏' 'បាន' '។']","[11  5 20 11 20 20 11 11 11 11  8 16 22  7 20 11 11 11  7 11 11 11  7 11
  7 14  8 16 22  9]"
434,['អ្នក~នាង' 'ហង្ស' 'ចាន់' 'ហ៊ីង'],[14 13 13 13]
435,['លោក' 'ផាន់' 'ស្រី' 'តូច'],[14 13 13 13]
436,"['ការ~បំផ្លិចបំផ្លាញ' 'ផ្ទះ' 'របស់' 'ក្រុម' 'ប្រជា_ពល_រដ្ឋ' 'ទាំង_នេះ'
 'បាន' 'ធ្វើ_ឲ្យ' 'ក្រុម' 'គ្រួសារ' 'របស់' 'ពួក_គេ' 'គ្មាន' 'ទី' 'កន្លែង'
 'ដែល' 'ត្រូវ' 'ទៅ' 'ហើយ' 'ត្រូវ' 'បង្ខំ' 'ចិត្ត' 'បោះ' 'ជំរុំ' 'នៅ_ក្បែរ'
 'នោះ' 'ដើម្បី' 'ស្នាក់' 'នៅ' 'បណ្តោះ_អាសន្ន' '។']","[11 11  7 11 11  5  1 20 11 11  7 14 16 11 11 17 20  7  2 20 20 11 20 11
  7  5  7 20  7 16  9]"
437,['ខ្ញុំ' 'ឈ្មោះ' 'សូន'],[14 11 13]
438,"['នេះ' 'ហើយ' 'ជា' 'រឿង' 'ព្រះ~ពិស្ណុការ' 'ដែល' 'មនុស្ស' 'ភាគ' 'តិច' 'ណាស់'
 'បាន' 'ដឹង' 'ហើយ' 'ដោយសារ_តែ' 'មាន' 'រឿង' 'ព្រេង' 'នេះ' 'បាន_ជា'
 'អ្នក~ស្រុក' 'គេ' 'ជឿ' 'គេ' 'យល់' 'ថា' 'ប្រាសាទ' 'អង្គរ' 'ជា' 'ស្នាដៃ'
 'ទេវតា' 'សាង' '។']","[ 5 16 20 11 13 17 11 11  8 16  1 20 16  2 20 11  8  5 16 11 14 20 14 20
  7 11 13 20 11 11 20  9]"
439,['លោក' 'ជ្រ'],[14 13]
440,['លោក~ស្រី' 'អាត' 'ស៊ីដាំ'],[14 13 13]
441,['ឯក_ឧត្ដម' 'កូយ' 'មុយ' 'អ៊ីម'],[14 13 13 13]
442,['អ្នក~នាង' 'លឺ' 'ឡាយ' 'ស្រេង'],[14 13 13 13]
443,"['ការ~ចោទ_ប្រកាន់' 'អំពី' 'បទ' 'ញុះញង់' 'នា' 'ពេល' 'ថ្មី' 'នេះ' 'ៗ'
 'ត្រូវ_បាន' 'បើក' 'សវនាការ' 'និង' 'ផ្តន្ទា_ទោស' 'ដោយ' 'កំបាំង_មុខ'
 'កាល_ពី' '២' 'ឆ្នាំ' 'មុន' 'នៅ' 'ថ្ងៃ_ទី' '២០' 'ខែ_សីហា' 'ឆ្នាំ' '២០១២'
 'ហើយ' 'ក្នុង' 'ករណី' 'នេះ' 'ក៏' 'មាន' 'ជន' 'ជាប់_ចោទ' 'ម្នាក់' 'ទៀត'
 'ផង_ដែរ' 'ឈ្មោះ' 'សួន' 'សេរី' 'រដ្ឋា' '។']","[11  7 11 21  7 11  8  5  4 20 20 11  2 20  7  8  7  3 11  8  7 11  3 13
 11  3  2  7 11  5 16 20 11 21  5 16 16 11 13 13 13  9]"
444,['កញ្ញា' 'ថារ៉ូ'],[14 13]
445,['អ្នក~នាង' 'យ៉ាន់'],[14 13]
446,['លោក~ស្រី' 'សុថារ៉ាត់'],[14 13]
447,['នេះ' 'គឺ_ជា' 'រឿន' 'សារ៉ន'],[ 5 20 13 13]
448,['កញ្ញា' 'គង' 'មរកដ្ឋ'],[14 13 13]
449,['នេះ' 'គឺ_ជា' 'ម៉េង' 'ថុង'],[ 5 20 13 13]
450,"['គ្រាប់' 'បាល់' 'ប៉េណាល់ទី' 'ក្នុង' 'តង់' 'ទី' '១' 'ពី_សំណាក់' 'ប្រធាន'
 'ក្រុម' 'បាន' 'ជួយ' 'ឲ្យ' 'ក្រុម' 'ម្ចាស់' 'ការពារ' 'តំណែង' 'ជើង_ឯក'
 'ជប៉ុន' 'ចាប់ផ្តើម' 'យុទ្ធនាការ' 'ជាមួយ_នឹង' 'ការ~ទទួល' 'ជ័យជម្នះ' 'មួយ'
 'នៅ_ពេល' 'ប្រកួត' 'ជាមួយ_នឹង' 'ក្រុម' 'ជម្រើស_ជាតិ' 'ស្វ៊ីស' 'កាល_ពី'
 'ថ្ងៃ' 'ព្រឹក' 'ថ្ងៃ' 'ម្សិល_មិញ' '។']","[11 11 11  7 11 11  3  7 11 11  1 20  7 11 11 21 11 11 13 20 11  7 11 11
  3  7 20  7 11 11 13  7 11 11 11 11  9]"
451,['អ្នក~នាង' 'ភូនិត'],[14 13]
452,['អ្នក~នាង' 'ចក' 'សុផាត់'],[14 13 13]
453,['ខ្ញុំ' 'ឈ្មោះ' 'សុខ' 'ស្រី' 'អំ'],[14 11 13 13 13]
454,"['លោក' 'ឧបការី' 'រង' 'ទទួល_បន្ទុក' 'លទិ្ធ' 'ប្រជា_ធិបតេយ្យ' 'សិទិ្ធ'
 'មនុស្ស' 'និង' 'ការងារ' 'នៃ' 'ក្រសួង' 'ការ~បរទេស' 'សហ_រដ្ឋ' 'អាមេរិក'
 'កាល_ពី' 'ម្សិល_មិញ' 'បាន' 'ធ្វើ' 'ការ~រិះគន់' 'លើ' 'សេចក្តី~ព្រាង'
 'ច្បាប់' 'នេះ' 'ហើយ' 'ថា' 'មាន' 'តម្រូវការ' 'តិចតួច' 'ប៉ុណ្ណោះ' 'ចំពោះ'
 'ច្បាប់' 'នេះ' '។']","[14 11  8 21 11 11 11 11  2 11  7 11 11 11 13  7 11  1 20 11  7 11 11  5
 16 20 20 11  8  8  7 11  5  9]"
455,['លោក~ជំទាវ' 'លៀង' 'នីរតី'],[14 13 13]
456,['លោក~ស្រី' 'សាម៉ៃ'],[14 13]
457,['កញ្ញា' 'វីដា' 'វ័ន្ត'],[14 13 13]
458,['អ្នក~នាង' 'ងេល' 'កាំ' 'ពេល'],[14 13 13 13]
459,['ឯក_ឧត្ដម' 'សាន្ត' 'ភារម្យ'],[14 13 13]
460,['កញ្ញា' 'សង្វារ' 'សំកុល'],[14 13 13]
461,"['លោក' 'ពុទ្ធី' 'បាន' 'បញ្ជាក់' 'ថា' 'អំពើ_ហិង្សា' 'បាន' 'កើត_ឡើង'
 'ដោយសារ' 'សន្តិសុខ' 'វាយ' 'ក្រុម' 'អ្នក~តវ៉ា' '។']",[14 13  1 20  7 11  1 20  2 11 20 11 11  9]
462,['ឯក_ឧត្ដម' 'ហេង' 'ប៊ុន' 'ស្រ៊ាង'],[14 13 13 13]
463,['ខ្ញុំ' 'ឈ្មោះ' 'សិទ្ធ'],[14 11 13]
464,['គាត់' 'ឈ្មោះ' 'លៀង' 'នីរតី'],[14 11 13 13]
465,['នេះ' 'គឺ_ជា' 'កក្កដា'],[ 5 20 13]
466,['លោក~ជំទាវ' 'ចាន់'],[14 13]
467,['កញ្ញា' 'នីកា'],[14 13]
468,['លោក~ស្រី' 'ជួយ' 'ចេក'],[14 13 13]
469,['ឯក_ឧត្ដម' 'សយ' 'ខែម៉ា'],[14 13 13]
470,['លោក~ស្រី' 'លួន'],[14 13]
471,['នេះ' 'គឺ_ជា' 'គីម' 'គ័ង' 'ឆេ'],[ 5 20 13 13 13]
472,['លោក~ស្រី' 'សយ' 'ចាន់រ៉ី'],[14 13 13]
473,['ឯក_ឧត្ដម' 'លឿន' 'សុគឿន'],[14 13 13]
474,['កញ្ញា' 'វណ្ណ' 'រឿន'],[14 13 13]
475,['ឯក_ឧត្ដម' 'ភ្លន់' 'ស្រី' 'នុច'],[14 13 13 13]
476,['គាត់' 'ឈ្មោះ' 'វណ្ណៈ'],[14 11 13]
477,['អ្នក~នាង' 'គ្រឹស្នា'],[14 13]
478,['លោក~ស្រី' 'ជុត'],[14 13]
479,['គាត់' 'ឈ្មោះ' 'ទី' 'សុជា'],[14 11 13 13]
480,['លោក~ស្រី' 'ភឿន'],[14 13]
481,['កញ្ញា' 'សោភ័ណ'],[14 13]
482,['ខ្ញុំ' 'ឈ្មោះ' 'ង៉ុយ' 'បញ្ញា'],[14 11 13 13]
483,['លោក~ស្រី' 'បឿន' 'រស្មី'],[14 13 13]
484,['គាត់' 'ឈ្មោះ' 'វណ្ណះ'],[14 11 13]
485,['លោក~ជំទាវ' 'សម្ផស្ស' 'ម៉ូនីតា'],[14 13 13]
486,['កញ្ញា' 'កៃ' 'ហ្វា' 'អ៊ីលីន'],[14 13 13 13]
487,['អ្នក~នាង' 'សឿង' 'សំអៃ'],[14 13 13]
